County,Candidate,Party
ARAD,GLIGOR NICOLAE-COSMIN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,BOTAȘ CĂLIN-ȘTEFAN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,ROȘU OVIDIU-CODRUȚ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,STRATINSZKI ANDREI,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,PATAKI TEODORA-VERONICA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,RABI TIBERIU,PARTIDUL SOCIAL DEMOCRAT UNIT
ARAD,SÎRCA ALEXANDRU-DUMITRU,PARTIDUL SOCIAL DEMOCRAT UNIT
ARAD,CHIȘCĂ DENIS-VIOREL,PARTIDUL SOCIAL DEMOCRAT UNIT
ARAD,STOICA ILEANA,PARTIDUL SOCIAL DEMOCRAT UNIT
ARAD,NAGY VASILE,PARTIDUL S.O.S. ROMÂNIA
ARAD,KISS DAN-MIHAI,PARTIDUL S.O.S. ROMÂNIA

ARAD,MARIAN NORINA-ANDREA,PARTIDUL S.O.S. ROMÂNIA
ARAD,MILEA CRISTIAN,PARTIDUL S.O.S. ROMÂNIA
ARAD,HOCK MARIANA,PARTIDUL S.O.S. ROMÂNIA
ARAD,DANCI FLAVIUS-TOADER,PARTIDUL S.O.S. ROMÂNIA
ARAD,PATAI ROMEO,PARTIDUL S.O.S. ROMÂNIA
ARAD,TIBA ROBERT-ZSOLT,PARTIDUL S.O.S. ROMÂNIA
ARAD,PĂTRĂȘCANU CAMELIA,PARTIDUL S.O.S. ROMÂNIA
ARAD,LASCA CIPRIAN-FLORIN,PATRIOȚII POPORULUI ROMÂN
ARAD,COSMA MIHAELA,PATRIOȚII POPORULUI ROMÂN
ARAD,BUKOR VIORICA,ROMÂNIA SOCIALISTĂ
ARAD,LELA NICOLAE,ROMÂNIA SOCIALISTĂ
ARAD,HAIDĂU ADRIAN-FLORENTIN,ROMÂNIA SOCIALISTĂ
ARAD,BUNACIU SERGIU,ROMÂNIA SOCIALISTĂ
ARAD,BUNACIU ILEANA,ROMÂNIA SOCIALISTĂ
ARAD,DOMIDE VIOREL,ROMÂNIA SOCIALISTĂ
ARAD,COVACI PETRU-COSMIN,ROMÂNIA SOCIALISTĂ
ARAD,RAȚIU BOGDAN,ROMÂNIA SOCIALISTĂ
ARAD,LELIK BETTINA HENRIETTA,ROMÂNIA SOCIALISTĂ
ARAD,ISPRAVNIC ALEXANDRE-VICTOR,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
ARAD,PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA
ARAD,TERZIAN SIRUN,UNIUNEA ARMENILOR DIN ROMÂNIA
ARAD,BOGDAN-CĂUȘ-NICOLAIDES NARINE,UNIUNEA ARMENILOR DIN ROMÂNIA
ARAD,PAPAZIAN PETRU,UNIUNEA ARMENILOR DIN ROMÂNIA
ARAD,NACOV GHEORGHE,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
ARAD,TOPCIOV PETRU,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
ARAD,COSILCOV ADRIAN-SORIN,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
